[00:00:00,000 - 00:00:00,080] 
[00:01:01,550 - 00:01:01,650] 's
[00:01:01,650 - 00:01:01,900]  where
[00:01:01,900 - 00:01:02,000]  it
[00:01:02,000 - 00:01:02,290]  gets
[00:01:02,290 - 00:01:03,120]  interesting
[00:01:03,120 - 00:01:03,710]  because
[00:01:03,710 - 00:01:04,130]  costs
[00:01:04,130 - 00:01:04,550]  alone
[00:01:04,550 - 00:01:04,970]  doesn
[00:01:04,970 - 00:01:05,220] 't
[00:01:05,220 - 00:01:05,730]  explain
[00:01:05,730 - 00:01:06,480]  three
[00:01:06,480 - 00:01:06,570]  tiers
[00:01:06,570 - 00:01:06,860] .
[00:01:06,860 - 00:01:06,990]  It
[00:01:06,990 - 00:01:07,670]  explains
[00:01:07,670 - 00:01:07,840]  to
[00:01:07,840 - 00:01:08,440]  maybe
[00:01:08,440 - 00:01:08,670]  rich
[00:01:08,670 - 00:01:09,110]  model
[00:01:09,110 - 00:01:09,720] ,
[00:01:09,720 - 00:01:09,960]  cheap
[00:01:09,960 - 00:01:10,140]  model
[00:01:10,140 - 00:01:10,240] ,
[00:01:10,240 - 00:01:10,980]  done
[00:01:10,980 - 00:01:11,150] .
[00:01:11,150 - 00:01:11,800]  So
[00:01:11,800 - 00:01:11,860]  why
[00:01:11,860 - 00:01:12,460]  three
[00:01:12,460 - 00:01:13,060] ?
[00:01:13,060 - 00:01:13,110]  This
[00:01:13,110 - 00:01:13,220]  is
[00:01:13,220 - 00:01:13,510]  where
[00:01:13,510 - 00:01:13,670]  it
[00:01:13,670 - 00:01:13,980]  stops
[00:01:13,980 - 00:01:14,200]  being
[00:01:14,200 - 00:01:14,490]  about
[00:01:14,490 - 00:01:15,090]  compute
[00:01:15,090 - 00:01:15,140]  and
[00:01:15,140 - 00:01:15,610]  starts
[00:01:15,610 - 00:01:15,760]  being
[00:01:15,760 - 00:01:16,000]  about
[00:01:16,000 - 00:01:16,720]  you
[00:01:16,720 - 00:01:16,720] ,
[00:01:16,720 - 00:01:17,710]  specifically
[00:01:17,710 - 00:01:18,110]  about
[00:01:18,110 - 00:01:18,550]  how
[00:01:18,550 - 00:01:18,600]  you
[00:01:18,600 - 00:01:19,010]  think
[00:01:19,010 - 00:01:19,360]  when
[00:01:19,360 - 00:01:19,690]  you
[00:01:19,690 - 00:01:19,820] 're
[00:01:19,820 - 00:01:20,470]  choosing
[00:01:20,470 - 00:01:20,560]  a
[00:01:20,560 - 00:01:21,120]  plan
[00:01:21,120 - 00:01:21,270] ,
[00:01:21,270 - 00:01:21,380]  think
[00:01:21,380 - 00:01:21,640]  about
[00:01:21,640 - 00:01:21,690]  a
[00:01:21,690 - 00:01:22,240]  restaurant
[00:01:22,240 - 00:01:23,020]  menu
[00:01:23,020 - 00:01:23,120]  for
[00:01:23,120 - 00:01:23,120]  a
[00:01:23,120 - 00:01:23,120] 
[00:01:23,120 - 00:01:23,530]  second
[00:01:23,530 - 00:01:23,990] .
[00:01:23,990 - 00:01:24,000]  Ever
[00:01:24,000 - 00:01:24,410]  notice
[00:01:24,410 - 00:01:24,610]  the
[00:01:24,610 - 00:01:25,020]  second
[00:01:25,020 - 00:01:25,300]  most
[00:01:25,300 - 00:01:25,900]  expensive
[00:01:25,900 - 00:01:26,170]  item
[00:01:26,170 - 00:01:26,300]  on
[00:01:26,300 - 00:01:26,500]  the
[00:01:26,500 - 00:01:26,720]  menu
[00:01:26,720 - 00:01:27,110]  is
[00:01:27,110 - 00:01:27,380]  usually
[00:01:27,380 - 00:01:27,580]  the
[00:01:27,580 - 00:01:27,780]  one
[00:01:27,780 - 00:01:28,050]  that
[00:01:28,050 - 00:01:28,480]  sells
[00:01:28,480 - 00:01:28,550]  the
[00:01:28,550 - 00:01:29,440]  most
[00:01:29,440 - 00:01:29,440] ?
[00:01:29,440 - 00:01:29,690]  That
[00:01:29,690 - 00:01:29,840] 's
[00:01:29,840 - 00:01:30,000]  not
[00:01:30,000 - 00:01:30,120]  an
[00:01:30,120 - 00:01:30,800]  accident
[00:01:30,800 - 00:01:31,000] .
[00:01:31,000 - 00:01:31,430]  Restaurant
[00:01:31,430 - 00:01:32,180]  deliberately
[00:01:32,180 - 00:01:32,410]  put
[00:01:32,410 - 00:01:32,490]  an
[00:01:32,490 - 00:01:32,930]  outrage
[00:01:32,930 - 00:01:33,240] ously
[00:01:33,240 - 00:01:33,680]  priced
[00:01:33,680 - 00:01:33,790]  issue
[00:01:33,790 - 00:01:33,830]  at
[00:01:33,830 - 00:01:33,920]  the
[00:01:33,920 - 00:01:34,240]  top
[00:01:34,240 - 00:01:34,240] ,
[00:01:34,240 - 00:01:34,980]  not
[00:01:34,980 - 00:01:35,030]  because
[00:01:35,030 - 00:01:35,310]  they
[00:01:35,310 - 00:01:35,730]  expect
[00:01:35,730 - 00:01:35,960]  you
[00:01:35,960 - 00:01:36,150]  to
[00:01:36,150 - 00:01:36,450]  order
[00:01:36,450 - 00:01:36,610]  it
[00:01:36,610 - 00:01:36,800] ,
[00:01:36,800 - 00:01:37,030]  but
[00:01:37,030 - 00:01:37,380]  because
[00:01:37,380 - 00:01:37,490]  it
[00:01:37,490 - 00:01:37,780]  makes
[00:01:37,780 - 00:01:37,950]  the
[00:01:37,950 - 00:01:38,250]  next
[00:01:38,250 - 00:01:38,560]  option
[00:01:38,560 - 00:01:38,800]  down
[00:01:38,800 - 00:01:39,030]  look
[00:01:39,030 - 00:01:39,920]  reasonable
[00:01:39,920 - 00:01:39,920] ,
[00:01:39,920 - 00:01:40,110]  it
[00:01:40,110 - 00:01:40,260] 's
[00:01:40,260 - 00:01:40,690]  called
[00:01:40,690 - 00:01:40,990]  anch
[00:01:40,990 - 00:01:41,540] oring
[00:01:41,540 - 00:01:41,760]  your
[00:01:41,760 - 00:01:42,090]  brain
[00:01:42,090 - 00:01:42,400]  sees
[00:01:42,400 - 00:01:42,660]  the
[00:01:42,660 - 00:01:42,700]  $
[00:01:42,700 - 00:01:43,160] 80
[00:01:43,160 - 00:01:43,520]  stake
[00:01:43,520 - 00:01:44,090] .
[00:01:44,090 - 00:01:44,130]  Then
[00:01:44,130 - 00:01:44,390]  the
[00:01:44,390 - 00:01:44,420]  $
[00:01:44,420 - 00:01:44,880] 30
[00:01:44,880 - 00:01:45,980]  pasta
[00:01:45,980 - 00:01:46,240]  suddenly
[00:01:46,240 - 00:01:46,480]  feels
[00:01:46,480 - 00:01:46,640]  like
[00:01:46,640 - 00:01:46,720]  a
[00:01:46,720 - 00:01:47,600]  steel
[00:01:47,600 - 00:01:47,600] .
[00:01:47,600 - 00:01:47,730]  AI
[00:01:47,730 - 00:01:48,350]  companies
[00:01:48,350 - 00:01:48,550]  are
[00:01:48,550 - 00:01:48,880]  doing
[00:01:48,880 - 00:01:49,100]  the
[00:01:49,100 - 00:01:49,430]  exact
[00:01:49,430 - 00:01:49,700]  same
[00:01:49,700 - 00:01:50,040]  thing
[00:01:50,040 - 00:01:50,310]  with
[00:01:50,310 - 00:01:50,650]  their
[00:01:50,650 - 00:01:50,990]  model
[00:01:50,990 - 00:01:51,430]  lineup
[00:01:51,430 - 00:01:51,840] .
[00:01:51,840 - 00:01:51,870]  The
[00:01:51,870 - 00:01:52,400]  flagship
[00:01:52,400 - 00:01:53,040]  model
[00:01:53,040 - 00:01:53,160] 
[00:01:53,160 - 00:01:53,360]  slow
[00:01:53,360 - 00:01:53,520] ,
[00:01:53,520 - 00:01:54,010]  pricey
[00:01:54,010 - 00:01:54,160] ,
[00:01:54,160 - 00:01:54,690]  over
[00:01:54,690 - 00:01:54,810] kill
[00:01:54,810 - 00:01:55,050]  for
[00:01:55,050 - 00:01:55,370]  most
[00:01:55,370 - 00:01:55,780]  tasks
[00:01:55,780 - 00:01:56,000]  isn
[00:01:56,000 - 00:01:56,210] 't
[00:01:56,210 - 00:01:56,810]  really
[00:01:56,810 - 00:01:57,080]  there
[00:01:57,080 - 00:01:57,240]  to
[00:01:57,240 - 00:01:57,400]  be
[00:01:57,400 - 00:01:57,720]  your
[00:01:57,720 - 00:01:58,110]  daily
[00:01:58,110 - 00:01:58,820]  driver
[00:01:58,820 - 00:01:58,880] .
[00:01:58,880 - 00:01:58,920]  It
[00:01:58,920 - 00:01:58,960] 's
[00:01:58,960 - 00:01:59,120]  there
[00:01:59,120 - 00:01:59,200]  to
[00:01:59,200 - 00:01:59,480]  make
[00:01:59,480 - 00:01:59,690]  the
[00:01:59,690 - 00:01:59,900]  mid
[00:01:59,900 - 00:02:00,180]  tier
[00:02:00,180 - 00:02:00,530]  model
[00:02:00,530 - 00:02:00,810]  look
[00:02:00,810 - 00:02:01,090]  like
[00:02:01,090 - 00:02:01,300]  the
[00:02:01,300 - 00:02:01,640]  smart
[00:02:01,640 - 00:02:02,140] ,
[00:02:02,140 - 00:02:02,370]  sensible
[00:02:02,370 - 00:02:02,770]  choice
[00:02:02,770 - 00:02:02,990] .
[00:02:02,990 - 00:02:03,120]  Oh
[00:02:03,120 - 00:02:03,340] ,
[00:02:03,340 - 00:02:03,550]  I
[00:02:03,550 - 00:02:03,580]  don
[00:02:03,580 - 00:02:03,690] 't
[00:02:03,690 - 00:02:03,970]  need
[00:02:03,970 - 00:02:04,180]  the
[00:02:04,180 - 00:02:04,560]  full
[00:02:04,560 - 00:02:04,880]  power
[00:02:04,880 - 00:02:05,320]  one
[00:02:05,320 - 00:02:05,600] .
[00:02:05,600 - 00:02:05,730]  I
[00:02:05,730 - 00:02:05,850] 'll
[00:02:05,850 - 00:02:06,110]  just
[00:02:06,110 - 00:02:06,300]  get
[00:02:06,300 - 00:02:06,490]  the
[00:02:06,490 - 00:02:07,020]  balanced
[00:02:07,020 - 00:02:07,380]  option
[00:02:07,380 - 00:02:07,960] .
[00:02:07,960 - 00:02:08,570]  Congratulations
[00:02:08,570 - 00:02:08,750] .
[00:02:08,750 - 00:02:09,210]  You
[00:02:09,210 - 00:02:09,210]  just
[00:02:09,210 - 00:02:09,740]  picked
[00:02:09,740 - 00:02:10,030]  exactly
[00:02:10,030 - 00:02:10,240]  what
[00:02:10,240 - 00:02:10,400]  they
[00:02:10,400 - 00:02:10,560]  wanted
[00:02:10,560 - 00:02:10,640]  you
[00:02:10,640 - 00:02:10,790]  to
[00:02:10,790 - 00:02:11,150]  pick
[00:02:11,150 - 00:02:11,310]  and
[00:02:11,310 - 00:02:11,660]  the
[00:02:11,660 - 00:02:11,980]  budget
[00:02:11,980 - 00:02:12,280]  tier
[00:02:12,280 - 00:02:12,500] .
[00:02:12,500 - 00:02:12,950]  That
[00:02:12,950 - 00:02:13,040] 's
[00:02:13,040 - 00:02:13,170]  not
[00:02:13,170 - 00:02:13,700]  charity
[00:02:13,700 - 00:02:14,150]  either
[00:02:14,150 - 00:02:14,670] .
[00:02:14,670 - 00:02:14,680]  That
[00:02:14,680 - 00:02:14,890] 's
[00:02:14,890 - 00:02:15,140]  the
[00:02:15,140 - 00:02:15,340]  free
[00:02:15,340 - 00:02:15,710]  trial
[00:02:15,710 - 00:02:16,470]  disguised
[00:02:16,470 - 00:02:16,560]  as
[00:02:16,560 - 00:02:16,640]  a
[00:02:16,640 - 00:02:17,100]  product
[00:02:17,100 - 00:02:17,520] .
[00:02:17,520 - 00:02:17,520]  Get
[00:02:17,520 - 00:02:17,720]  you
[00:02:17,720 - 00:02:18,130]  hooked
[00:02:18,130 - 00:02:18,260]  on
[00:02:18,260 - 00:02:18,450]  the
[00:02:18,450 - 00:02:19,080]  interface
[00:02:19,080 - 00:02:19,210] ,
[00:02:19,210 - 00:02:19,550]  the
[00:02:19,550 - 00:02:20,090]  workflow
[00:02:20,090 - 00:02:20,130] ,
[00:02:20,130 - 00:02:20,380]  the
[00:02:20,380 - 00:02:20,630]  habit
[00:02:20,630 - 00:02:20,760]  of
[00:02:20,760 - 00:02:21,180]  asking
[00:02:21,180 - 00:02:21,300]  AI
[00:02:21,300 - 00:02:21,920]  instead
[00:02:21,920 - 00:02:22,000]  of
[00:02:22,000 - 00:02:22,080]  Go
[00:02:22,080 - 00:02:22,150] og
[00:02:22,150 - 00:02:22,300] ling
[00:02:22,300 - 00:02:22,400] ,
[00:02:22,880 - 00:02:22,560]  and
[00:02:22,560 - 00:02:23,060]  one
[00:02:23,060 - 00:02:23,070]  set
[00:02:23,070 - 00:02:23,510]  second
[00:02:23,510 - 00:02:23,940]  nature
[00:02:23,940 - 00:02:24,080] ,
[00:02:24,080 - 00:02:24,830]  upgrading
[00:02:24,830 - 00:02:25,110]  feels
[00:02:25,110 - 00:02:25,400]  less
[00:02:25,400 - 00:02:25,690]  like
[00:02:25,690 - 00:02:25,760]  a
[00:02:25,760 - 00:02:26,570]  purchase
[00:02:26,570 - 00:02:26,690]  and
[00:02:26,690 - 00:02:26,860]  more
[00:02:26,860 - 00:02:27,150]  like
[00:02:27,150 - 00:02:27,220]  a
[00:02:27,220 - 00:02:27,730]  natural
[00:02:27,730 - 00:02:28,020]  next
[00:02:28,020 - 00:02:28,340]  step
[00:02:28,340 - 00:02:28,640] .
[00:02:28,640 - 00:02:28,820]  It
[00:02:28,820 - 00:02:29,080] 's
[00:02:29,080 - 00:02:29,830]  basically
[00:02:29,830 - 00:02:30,100]  the
[00:02:30,100 - 00:02:30,360]  car
[00:02:30,360 - 00:02:30,740]  trim
[00:02:30,740 - 00:02:31,480]  strategy
[00:02:31,480 - 00:02:31,750] .
[00:02:31,750 - 00:02:32,500]  Base
[00:02:32,500 - 00:02:32,580]  model
[00:02:32,580 - 00:02:33,040]  gets
[00:02:33,040 - 00:02:33,220]  you
[00:02:33,220 - 00:02:33,590]  from
[00:02:33,590 - 00:02:33,860]  A
[00:02:33,860 - 00:02:33,860]  to
[00:02:33,860 - 00:02:33,950]  B
[00:02:33,950 - 00:02:34,440] .
[00:02:34,440 - 00:02:34,490]  Mid
[00:02:34,490 - 00:02:34,860]  trim
[00:02:34,860 - 00:02:35,110]  has
[00:02:35,110 - 00:02:35,550]  the
[00:02:35,550 - 00:02:36,000]  stuff
[00:02:36,000 - 00:02:36,210]  you
[00:02:36,210 - 00:02:37,060]  actually
[00:02:37,060 - 00:02:37,110]  want
[00:02:37,110 - 00:02:37,200] ,
[00:02:37,200 - 00:02:37,630]  decent
[00:02:37,630 - 00:02:37,990]  seats
[00:02:37,990 - 00:02:38,130] ,
[00:02:38,130 - 00:02:38,210]  a
[00:02:38,210 - 00:02:38,480]  good
[00:02:38,480 - 00:02:38,960]  stereo
[00:02:38,960 - 00:02:39,050] ,
[00:02:39,050 - 00:02:39,410]  maybe
[00:02:39,410 - 00:02:39,840]  cruise
[00:02:39,840 - 00:02:40,480]  control
[00:02:40,480 - 00:02:40,500] ,
[00:02:40,500 - 00:02:40,690]  top
[00:02:40,690 - 00:02:40,970]  trim
[00:02:40,970 - 00:02:41,160] .
[00:02:41,160 - 00:02:41,600]  The
[00:02:41,600 - 00:02:41,630]  one
[00:02:41,630 - 00:02:42,000]  with
[00:02:42,000 - 00:02:42,520]  features
[00:02:42,520 - 00:02:42,910]  90
[00:02:42,910 - 00:02:42,970] %
[00:02:42,970 - 00:02:43,100]  of
[00:02:43,100 - 00:02:43,490]  buyers
[00:02:43,490 - 00:02:43,750]  will
[00:02:43,750 - 00:02:44,070]  never
[00:02:44,070 - 00:02:44,390]  touch
[00:02:44,390 - 00:02:44,660] ,
[00:02:44,660 - 00:02:44,710]  but
[00:02:44,710 - 00:02:44,840]  it
[00:02:44,840 - 00:02:45,230]  exists
[00:02:45,230 - 00:02:45,360]  so
[00:02:45,360 - 00:02:45,550]  the
[00:02:45,550 - 00:02:45,740]  mid
[00:02:45,740 - 00:02:45,990]  trim
[00:02:45,990 - 00:02:46,450]  doesn
[00:02:46,450 - 00:02:46,550] 't
[00:02:46,550 - 00:02:46,710]  feel
[00:02:46,710 - 00:02:46,970]  like
[00:02:46,970 - 00:02:47,190]  the
[00:02:47,190 - 00:02:47,600]  cheap
[00:02:47,600 - 00:02:47,660] 
[00:02:47,660 - 00:02:48,040]  option
[00:02:48,040 - 00:02:48,540] .
[00:02:48,540 - 00:02:48,720]  Nobody
[00:02:48,720 - 00:02:49,100]  wants
[00:02:49,100 - 00:02:49,320]  to
[00:02:49,320 - 00:02:49,560]  feel
[00:02:49,560 - 00:02:49,920]  cheap
[00:02:49,920 - 00:02:50,300] .
[00:02:50,300 - 00:02:50,830]  Companies
[00:02:50,830 - 00:02:51,120]  know
[00:02:51,120 - 00:02:51,430]  that
[00:02:51,430 - 00:02:51,750]  or
[00:02:51,750 - 00:02:51,960]  think
[00:02:51,960 - 00:02:52,210]  of
[00:02:52,210 - 00:02:52,480]  phone
[00:02:52,480 - 00:02:53,360]  storage
[00:02:53,360 - 00:02:53,440] ,
[00:02:53,440 - 00:02:54,080]  64
[00:02:54,080 - 00:02:54,550]  gigs
[00:02:54,550 - 00:02:54,730] ,
[00:02:54,730 - 00:02:55,520]  256
[00:02:55,520 - 00:02:55,520] ,
[00:02:55,520 - 00:02:55,720]  one
[00:02:55,720 - 00:02:55,920]  ter
[00:02:55,920 - 00:02:56,250] abyte
[00:02:56,250 - 00:02:56,450] .
[00:02:56,450 - 00:02:56,810]  The
[00:02:56,810 - 00:02:56,970]  jump
[00:02:56,970 - 00:02:57,050]  in
[00:02:57,050 - 00:02:57,420]  price
[00:02:57,420 - 00:02:57,510]  is
[00:02:57,510 - 00:02:57,840]  never
[00:02:57,840 - 00:02:58,640]  proportional
[00:02:58,640 - 00:02:58,780]  to
[00:02:58,780 - 00:02:58,970]  the
[00:02:58,970 - 00:02:59,340]  jump
[00:02:59,340 - 00:02:59,370]  in
[00:02:59,370 - 00:02:59,640]  cost
[00:02:59,640 - 00:02:59,840]  of
[00:02:59,840 - 00:03:00,980]  company
[00:03:00,980 - 00:03:01,120]  because
[00:03:01,120 - 00:03:01,360]  the
[00:03:01,360 - 00:03:01,670]  extra
[00:03:01,670 - 00:03:02,080]  storage
[00:03:02,080 - 00:03:02,330]  cost
[00:03:02,330 - 00:03:02,600]  them
[00:03:02,600 - 00:03:02,920]  almost
[00:03:02,920 - 00:03:03,340]  nothing
[00:03:03,340 - 00:03:03,580] .
[00:03:03,580 - 00:03:03,750]  What
[00:03:03,750 - 00:03:04,120]  you
[00:03:04,120 - 00:03:04,190] 're
